operation, number
LTC6953_ADEL0, 3925
LTC6953_ADEL1, 4949
LTC6953_ADEL2, 5973
LTC6953_ADEL3, 6997
LTC6953_ADEL4, 8021
LTC6953_ADEL5, 9045
LTC6953_ADEL6, 10069
LTC6953_ADEL7, 11093
LTC6953_ADEL8, 12117
LTC6953_ADEL9, 13141
LTC6953_ADEL10, 14165
LTC6953_DDEL0, 3387
LTC6953_DDEL1, 4411
LTC6953_DDEL2, 5435
LTC6953_DDEL3, 6459
LTC6953_DDEL4, 7483
LTC6953_DDEL5, 8507
LTC6953_DDEL6, 9531
LTC6953_DDEL7, 10555
LTC6953_DDEL8, 11579
LTC6953_DDEL9, 12603
LTC6953_DDEL10, 13627
LTC6953_EZMD, 2880
LTC6953_FILTV, 528
LTC6953_INVSTAT, 368
LTC6953_MD0, 3106
LTC6953_MD1, 4130
LTC6953_MD2, 5154
LTC6953_MD3, 6178
LTC6953_MD4, 7202
LTC6953_MD5, 8226
LTC6953_MD6, 9250
LTC6953_MD7, 10274
LTC6953_MD8, 11298
LTC6953_MD9, 12322
LTC6953_MD10, 13346
LTC6953_MODE0, 3425
LTC6953_MODE1, 4449
LTC6953_MODE2, 5473
LTC6953_MODE3, 6497
LTC6953_MODE4, 7521
LTC6953_MODE5, 8545
LTC6953_MODE6, 9569
LTC6953_MODE7, 10593
LTC6953_MODE8, 11617
LTC6953_MODE9, 12641
LTC6953_MODE10, 13665
LTC6953_MP0, 3188
LTC6953_MP1, 4212
LTC6953_MP2, 5236
LTC6953_MP3, 6260
LTC6953_MP4, 7284
LTC6953_MP5, 8308
LTC6953_MP6, 9332
LTC6953_MP7, 10356
LTC6953_MP8, 11380
LTC6953_MP9, 12404
LTC6953_MP10, 13428
LTC6953_OINV0, 3392
LTC6953_OINV1, 4416
LTC6953_OINV2, 5440
LTC6953_OINV3, 6464
LTC6953_OINV4, 7488
LTC6953_OINV5, 8512
LTC6953_OINV6, 9536
LTC6953_OINV7, 10560
LTC6953_OINV8, 11584
LTC6953_OINV9, 12608
LTC6953_OINV10, 13632
LTC6953_PART, 14515
LTC6953_PDALL, 624
LTC6953_PDVCOPK, 592
LTC6953_PD10, 1361
LTC6953_PD9, 1329
LTC6953_PD8, 1297
LTC6953_PD7, 1137
LTC6953_PD6, 1105
LTC6953_PD5, 1073
LTC6953_PD4, 1041
LTC6953_PD3, 881
LTC6953_PD2, 849
LTC6953_PD1, 817
LTC6953_PD0, 785
LTC6953_POR, 512
LTC6953_REV, 14579
LTC6953_SYSCT, 2849
LTC6953_SRQMD, 2864
LTC6953_SSRQ, 2816
LTC6953_SRQEN0, 3440
LTC6953_SRQEN1, 4464
LTC6953_SRQEN2, 5488
LTC6953_SRQEN3, 6512
LTC6953_SRQEN4, 7536
LTC6953_SRQEN5, 8560
LTC6953_SRQEN6, 9584
LTC6953_SRQEN7, 10608
LTC6953_SRQEN8, 11632
LTC6953_SRQEN9, 12656
LTC6953_SRQEN10, 13680
LTC6953_TEMPO, 1392
LTC6953_nVCOOK, 176
LTC6953_VCOOK, 160
LTC6953_x, 358
